id,question
0,What is the protein content in the Potato Latkes Made Simple recipe?
0,Can you tell me how many grams of carbohydrates are in the Potato Latkes Made Simple dish?
0,I need to know the fat content in the Potato Latkes Made Simple: A Twitter Recipe.
0,What type of cuisine is the Potato Latkes Made Simple recipe classified under?
0,Is the Potato Latkes Made Simple recipe suitable for someone following a DASH diet?
1,What is the main source of fat in the Avocado Dressing recipe?
1,How many grams of protein are in the Avocado Dressing?
1,Could you tell me the total carbohydrate content in the Avocado Dressing recipe?
1,Is the Avocado Dressing recipe suitable for the DASH diet?
1,What type of cuisine does the Avocado Dressing belong to?
2,What is the protein content in the Bread Salad recipe?
2,Can you tell me how many grams of carbohydrates are in the Bread Salad dish?
2,How much fat does the Bread Salad recipe contain?
2,What cuisine does the Bread Salad belong to?
2,Is the Bread Salad recipe part of the DASH diet?
3,What is the carbohydrate content in the Ultimat Sparkler recipe?
3,Could you tell me the amount of protein in the Ultimat Sparkler?
3,How much fat does the Ultimat Sparkler contain per serving?
3,What type of diet is the Ultimat Sparkler recipe suitable for?
3,Which cuisine is the Ultimat Sparkler recipe associated with?
4,What is the amount of protein in the Yogurt Pops recipe?
4,How many grams of carbohydrates are in the American cuisine dish called Yogurt Pops?
4,"Could you tell me the fat content in the Dash diet recipe, Yogurt Pops?"
4,"What type of diet is the Yogurt Pops recipe suitable for, based on its ingredients?"
4,Can you provide the cuisine style for the recipe named Yogurt Pops?
5,How much protein is in the Sumac-Spiced Eggplant Schnitzel Recipe from central Europe?
5,What is the carbohydrate content of the Sumac-Spiced Eggplant Schnitzel Recipe that follows a DASH diet?
5,Can you tell me the amount of fat in the Sumac-Spiced Eggplant Schnitzel Recipe?
5,Is the Sumac-Spiced Eggplant Schnitzel Recipe compatible with a DASH diet plan?
5,"What cuisine is the Sumac-Spiced Eggplant Schnitzel Recipe from, and how does it align with dietary goals?"
6,What nutritional details are included in the Kerouac Cocktail recipe?
6,Can you tell me about the carbohydrate content in the American cuisine Kerouac Cocktail?
6,Does the Kerouac Cocktail fit into a DASH diet plan?
6,How much protein does the Kerouac Cocktail contain?
6,What is the fat content of the Kerouac Cocktail recipe?
7,What is the protein content in the Miso and Corn Soup recipe?
7,Could you tell me the carbohydrate amount in the Miso and Corn Soup?
7,How much fat does the Miso and Corn Soup recipe contain?
7,Is the Miso and Corn Soup recipe suitable for a DASH diet?
7,What type of cuisine is the Miso and Corn Soup associated with?
8,What is the total carbohydrate content in the Red Hot Apple Pie in a Mug recipe?
8,Can you tell me how much protein is present in the Red Hot Apple Pie in a Mug?
8,What is the fat content in the Red Hot Apple Pie in a Mug from the DASH diet category?
8,Is the Red Hot Apple Pie in a Mug considered a high-protein recipe?
8,Does the Red Hot Apple Pie in a Mug recipe include ingredients typical of French cuisine?
9,What is the protein content in the Chocolate Cupcakes with Vanilla Cream Cheese Frosting recipe from the DASH diet plan?
9,How many grams of carbohydrates are contained in the American-style Chocolate Cupcakes with Vanilla Cream Cheese Frosting?
9,Could you tell me the amount of fat present in the Chocolate Cupcakes with Vanilla Cream Cheese Frosting recipe?
9,What type of diet does the Chocolate Cupcakes with Vanilla Cream Cheese Frosting recipe belong to?
9,What is the cuisine type of the Chocolate Cupcakes with Vanilla Cream Cheese Frosting?
10,What are some key ingredients in an Italian Tomato Tart suitable for a DASH diet?
10,How does the macronutrient distribution in an Italian Tomato Tart fit into the DASH diet guidelines?
10,Can you tell me how an Italian Tomato Tart aligns with Italian cuisine principles?
10,"What's the protein content in an Italian Tomato Tart, and is it suitable for a DASH diet meal?"
10,How does the carbohydrate level in an Italian Tomato Tart compare to typical DASH diet recommendations?
11,What is the protein content in the Vegetarian Green Chile Recipe?
11,Can you tell me the amount of carbohydrates in the Vegetarian Green Chile Recipe?
11,How much fat does the Vegetarian Green Chile Recipe contain?
11,Which diet type does the Vegetarian Green Chile Recipe belong to?
11,What type of cuisine is the Vegetarian Green Chile Recipe categorized under?
12,What is the protein content of the Hasselback Eggplant Parmesan recipe in the DASH diet?
12,How many grams of carbohydrates are in the Hasselback Eggplant Parmesan?
12,Can you tell me the total fat content in the American cuisine Hasselback Eggplant Parmesan dish?
12,Is the Hasselback Eggplant Parmesan recipe suitable for someone following a DASH diet given its macronutrient profile?
12,How does the carbohydrate level of Hasselback Eggplant Parmesan compare to its protein and fat content?
13,"How many grams of protein are found in the Polenta With Winter Salad, Poached Egg, and Blue Cheese recipe from 'Feast'?"
13,"What is the amount of carbohydrates in the Polenta With Winter Salad, Poached Egg, and Blue Cheese dish according to the provided recipe?"
13,"For someone following a DASH diet, would the fat content of the Polenta With Winter Salad, Poached Egg, and Blue Cheese recipe be considered high?"
